items_id,rfid,model_id,dateAcquired,location_id,serialNum,comments,price,pbhrnumber,user_id,accountedFor,alias,delete_Boolean
5052,2F2203438544D32000000041,5206,NULL,57,CN0W160G7287298H0FYI,NULL,129,NULL,44,Missing,NULL,
5053,2F2203438544D32000000042,5206,NULL,57,CN0W160G7287298H0E4I,NULL,129,NULL,44,Missing,NULL,
5054,2F2203438544D32000000043,5206,NULL,57,CN0W160G7287298H297I,NULL,129,NULL,44,Missing,NULL,
5055,2F2203438544D32000000044,5206,NULL,57,CN0W160G7287298H0G6I,NULL,129,NULL,44,Missing,NULL,
5056,2F2203438544D32000000045,5206,NULL,57,CN0W160G7287298H0G9I,NULL,129,NULL,44,Missing,NULL,
5003,2F2203438544D32000000046,5166,NULL,57,9Z99ZK1,NULL,955,NULL,44,Missing,USMAWKDD10604,
5004,2F2203438544D32000000047,5166,NULL,57,JTD9ZK1,NULL,955,NULL,44,Missing,USMAWKDD10603,
5005,2F2203438544D32000000048,5166,NULL,57,5C19ZK1,NULL,955,NULL,44,Missing,USMAWKDD10602,
5006,2F2203438544D32000000049,5166,NULL,57,FQ1WVK1,NULL,955,NULL,44,Missing,USMAWKDD10601,
5007,2F2203438544D3200000004A,5166,NULL,57,CN1WVK1,NULL,955,NULL,44,Missing,USMAWKDD10607,
5008,2F2203438544D3200000004B,5166,NULL,57,GC19ZK1,NULL,955,NULL,44,Missing,USMAWKDD10606,
5009,2F2203438544D3200000004C,5166,NULL,57,7YL9ZK1,NULL,955,NULL,44,Missing,USMAWKDD10605,
5010,2F2203438544D3200000004D,5166,NULL,57,3R1WVK1,NULL,955,NULL,44,Missing,USMAWKDD10600,
5011,2F2203438544D3200000004E,5166,NULL,57,FMH9ZK1,NULL,955,NULL,44,Missing,USMAWKDD10610,
5012,2F2203438544D3200000004F,5166,NULL,57,2Z99ZK1,NULL,955,NULL,44,Missing,USMAWKDD10609,
5013,2F2203438544D32000000050,5166,NULL,57,BR1WVK1,NULL,955,NULL,44,Missing,USMAWKDD10608,
5014,2F2203438544D32000000051,5166,NULL,57,GLH9ZK1,NULL,955,NULL,44,Found,USMAWKDD10614,
5015,2F2203438544D32000000052,5166,NULL,57,4MH9ZK1,NULL,955,NULL,44,Found,USMAWKDD10613,
5016,2F2203438544D32000000053,5166,NULL,57,3WN9ZK1,NULL,955,NULL,44,Found,USMAWKDD10612,
5017,2F2203438544D32000000054,5166,NULL,57,9MH9ZK1,NULL,955,NULL,44,Found,USMAWKDD10611,
4520,2F2203438544D32000000068,5166,NULL,48,2C19ZK1,Spare Desktops,955,NULL,44,Missing,NULL,
4534,2F2203438544D3200000006C,5169,NULL,48,4234YB1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4535,2F2203438544D3200000006D,5169,NULL,48,H3X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4536,2F2203438544D3200000006E,5169,NULL,48,JXSB7D1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4537,2F2203438544D3200000006F,5169,NULL,48,81SB7D1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4538,2F2203438544D32000000070,5169,NULL,48,6PW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4539,2F2203438544D32000000071,5169,NULL,48,54X26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4540,2F2203438544D32000000072,5169,NULL,48,85X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4663,2F2203438544D32000000073,5180,NULL,50,KR49531023,NULL,1026.42,NULL,44,Missing,NULL,
4644,2F2203438544D32000000075,5172,NULL,48,CN05Y2327161837LA202,NULL,189,NULL,44,Missing,NULL,
5087,2F2203438544D32000000077,5182,NULL,58,5933U040671,NULL,4855.82,NULL,44,Missing,NULL,
4761,2F2203438544D3200000009E,5196,NULL,55,MX0P875P7071505N0QZS,NULL,NULL,NULL,47,NULL,NULL,
4518,2F2203438544D3200000009F,0,NULL,48,C0J42WVK1,NULL,NULL,NULL,50,Found,NULL,
4762,2F2203438544D320000000A0,5196,NULL,55,MX0P875P7071505N0KRS,NULL,NULL,NULL,47,NULL,NULL,
4763,2F2203438544D320000000A1,5196,NULL,55,MX0P875P7071505N0KMS,NULL,NULL,NULL,136,NULL,NULL,
4764,2F2203438544D320000000A2,5196,NULL,55,MX0P875P7071505N0KPS,NULL,NULL,NULL,136,NULL,NULL,
4765,2F2203438544D320000000A3,5196,NULL,55,MX0P875P7071505N0KTS,NULL,NULL,NULL,99,NULL,NULL,
4766,2F2203438544D320000000A4,5196,NULL,55,MX0P875P7071505N0KSS,NULL,NULL,NULL,32,NULL,NULL,
4733,2F2203438544D320000000A5,5184,NULL,55,FZHNKN1,NULL,1710,BEE/FG258G,103,Found,NULL,
4734,2F2203438544D320000000A6,5184,NULL,55,FZHMKN1,NULL,1710,NULL,50,Found,NULL,
4735,2F2203438544D320000000A7,5184,NULL,55,FZJMKN1,NULL,1710,NULL,103,Found,NULL,
4736,2F2203438544D320000000A8,5184,NULL,55,FZJNKN1,NULL,1710,NULL,50,Found,NULL,
4737,2F2203438544D320000000A9,5184,NULL,55,FZJPKN1,NULL,1710,NULL,50,Found,NULL,
4738,2F2203438544D320000000AA,5184,NULL,55,FZHPKN1,NULL,1710,NULL,99,Found,NULL,
4725,2F2203438544D320000000B1,5193,NULL,54,SG50340113,NULL,12417.84,NULL,53,Missing,NULL,
4726,2F2203438544D320000000B2,5193,NULL,54,SG50340107,NULL,12417.84,NULL,50,Missing,NULL,
5076,2F2203438544D320000000B3,5193,NULL,57,SG50340109,NULL,12417.84,NULL,32,Found,NULL,
5265,2F2203438544D320000000B6,5193,NULL,59,SG50340111,NULL,12417.84,NULL,133,Found,NULL,
5361,2F2203438544D320000000B7,5193,NULL,60,SG50340106,NULL,12417.84,NULL,133,Found,NULL,
4519,2F2203438544D320000000B9,5165,NULL,48,CFNNVD1,NULL,NULL,NULL,99,Found,NULL,
4541,2F2203438544D320000000BA,5169,NULL,48,JTSB7D1,IT305 Training Laptop,NULL,NULL,26,Missing,NULL,
4542,2F2203438544D320000000BB,5169,NULL,48,D4X26B1,IT305 Training Laptop,NULL,NULL,133,Missing,NULL,
4543,2F2203438544D320000000BC,5169,NULL,48,CVTB7D1,IT305 Training Laptop,NULL,NULL,32,Missing,NULL,
